Spin,Before Balance,After Balance,Bet,Total Win,Total Win Lines,Wild Used,Free Spin Count,Jackpot Amount
88,10000255872.4559,10000255877.4559,1,25,2,False,0,0
89,10000255877.4559,10000255857.4559,1,0,0,False,0,0
90,10000255857.4559,10000255837.4559,1,0,0,False,0,0
91,10000255837.4559,10000255817.4559,1,0,0,False,0,0
92,10000255817.4559,10000255797.4559,1,0,0,False,0,0
93,10000255797.4559,10000255777.4559,1,0,0,False,0,0
94,10000255777.4559,10000255757.4559,1,0,0,False,0,0
95,10000255757.4559,10000255757.4559,1,20,2,False,0,0
96,10000255757.4559,10000255737.4559,1,0,0,False,0,0
97,10000255737.4559,10000255727.4559,1,10,1,False,0,0
98,10000255727.4559,10000255707.4559,1,0,0,False,5,0
99,10000255707.4559,10000255707.4559,1,0,0,False,5,0
100,10000255707.4559,10000255737.4559,1,30,3,False,5,0
